user_id,username,message,date,likes,retweets,hashtags
7,user_7,Python is amazing! #coding #python,2023-11-03 06:19:29.721485,351.0,229,#travel
15,user_15,Check out my new blog post!,2024-07-30 06:19:29.721505,198.0,50,#fitness
11,user_11,Python is amazing! #coding #python,2024-09-13 06:19:29.721510,307.0,263,#game
8,user_8,,2024-05-08 06:19:29.721514,488.0,282,#coffee
7,user_7,Taking a break #relax,2024-05-23 06:19:29.721517,416.0,26,
19,user_19,Who else loves coffee? #coffee,2024-06-03 06:19:29.721522,423.0,225,#fitness
11,user_11,Python is amazing! #coding #python,2024-07-16 06:19:29.721526,,276,#sunnyday #fun
11,user_11,Check out my new blog post!,2024-08-04 06:19:29.721530,38.0,285,#travel
4,user_4,Having a great time with friends #goodvibes,2023-10-15 06:19:29.721539,337.0,96,#travel
8,user_8,Who else loves coffee? #coffee,2023-12-21 06:19:29.721543,359.0,283,#sunnyday #fun
3,user_3,Listening to my favorite song #music,2024-08-12 06:19:29.721546,128.0,146,#coding #python
2,user_2,Learning new coding skills #python,2023-11-28 06:19:29.721549,266.0,3,#music
12,user_12,Taking a break #relax,2024-02-22 06:19:29.721552,475.0,34,#coffee
6,user_6,Taking a break #relax,2024-09-09 06:19:29.721555,440.0,191,#developerlife
2,user_2,,2024-09-10 06:19:29.721557,472.0,48,#peace
1,user_1,Working on my new project #developerlife,2024-08-09 06:19:29.721560,433.0,16,#fitness
12,user_12,Running my first marathon next week #fitness,2024-06-06 06:19:29.721563,150.0,171,#sunnyday #fun
12,user_12,Listening to my favorite song #music,2024-05-29 06:19:29.721565,414.0,219,#peace
17,user_17,Found this cute café #coffee,2024-01-11 06:19:29.721567,477.0,157,#game
10,user_10,Can't stop coding #python,2023-11-22 06:19:29.721569,297.0,45,#fitness
16,user_16,Can't wait for the weekend #TGIF,2024-09-12 06:19:29.721571,98.0,5,#music
15,user_15,,2023-12-13 06:19:29.721572,262.0,98,#peace
15,user_15,Listening to my favorite song #music,2024-06-16 06:19:29.721573,251.0,232,#game
19,user_19,Working on my new project #developerlife,2023-10-29 06:19:29.721575,143.0,36,#TGIF
12,user_12,Taking a break #relax,2023-10-02 06:19:29.721576,345.0,279,
3,user_3,Check out my latest code snippet #coding,2023-12-21 06:19:29.721578,111.0,180,#travel
5,user_5,Can't wait for the weekend #TGIF,2024-02-24 06:19:29.721580,499.0,94,#TGIF
19,user_19,Working on my new project #developerlife,2024-06-05 06:19:29.721583,59.0,98,#fitness
7,user_7,Listening to my favorite song #music,2024-02-09 06:19:29.721586,368.0,187,#music
9,user_9,Running my first marathon next week #fitness,2023-11-29 06:19:29.721588,1.0,115,#coffee
7,user_7,Loving this weather #sunnyday,2024-05-06 06:19:29.721591,384.0,190,#peace
18,user_18,Had the best meal today #foodie,2024-09-22 06:19:29.721593,303.0,252,
4,user_4,Working on my new project #developerlife,2024-07-06 06:19:29.721596,253.0,160,#fitness
14,user_14,Just completed a 5k run! #fitness,2023-10-04 06:19:29.721599,139.0,255,#sunnyday #fun
18,user_18,Exploring new places #travel,2024-02-22 06:19:29.721600,452.0,127,#goodvibes
9,user_9,Exploring new places #travel,2024-04-04 06:19:29.721602,36.0,17,#fitness
2,user_2,Can't stop coding #python,2024-05-06 06:19:29.721603,159.0,280,
15,user_15,,2024-07-08 06:19:29.721604,8.0,222,#travel
7,user_7,Listening to my favorite song #music,2024-06-07 06:19:29.721606,232.0,53,#travel
12,user_12,Check out my new blog post!,2024-04-06 06:19:29.721607,98.0,57,#fitness
8,user_8,Check out my new blog post!,2024-08-04 06:19:29.721609,146.0,173,#game
15,user_15,Can't stop coding #python,2024-08-09 06:19:29.721610,303.0,279,#goodvibes
3,user_3,Working on my new project #developerlife,2024-03-15 06:19:29.721611,,113,#sunnyday #fun
14,user_14,Learning new coding skills #python,2024-08-07 06:19:29.721612,130.0,287,#fitness
17,user_17,Python is amazing! #coding #python,2024-03-26 06:19:29.721614,403.0,150,#game
4,user_4,Listening to my favorite song #music,2024-04-02 06:19:29.721615,151.0,126,#travel
18,user_18,Just completed a 5k run! #fitness,2023-11-21 06:19:29.721616,53.0,154,#travel
8,user_8,,2024-05-13 06:19:29.721618,119.0,272,#music
4,user_4,Learning new coding skills #python,2024-09-03 06:19:29.721619,160.0,103,#fitness
2,user_2,Having a great time with friends #goodvibes,2024-02-03 06:19:29.721620,407.0,298,#goodvibes
6,user_6,Check out my new blog post!,2023-12-26 06:19:29.721622,115.0,245,#coding #python
10,user_10,Running my first marathon next week #fitness,2024-07-24 06:19:29.721623,,175,#goodvibes
4,user_4,Had the best meal today #foodie,2024-03-16 06:19:29.721624,112.0,38,#travel
18,user_18,,2024-08-16 06:19:29.721626,455.0,169,#travel
12,user_12,Taking a break #relax,2023-12-18 06:19:29.721627,,246,#TGIF
2,user_2,Learning new coding skills #python,2024-04-28 06:19:29.721628,421.0,25,#travel
10,user_10,Can't stop coding #python,2023-11-09 06:19:29.721630,103.0,12,#sunnyday #fun
4,user_4,Found this cute café #coffee,2023-11-14 06:19:29.721631,339.0,35,#developerlife
14,user_14,Found this cute café #coffee,2024-03-24 06:19:29.721632,253.0,172,#fitness
16,user_16,Can't stop coding #python,2023-12-05 06:19:29.721634,226.0,19,#peace
15,user_15,Exploring new places #travel,2024-06-19 06:19:29.721635,111.0,263,#goodvibes
8,user_8,Listening to my favorite song #music,2023-10-01 06:19:29.721636,472.0,141,#developerlife
14,user_14,Loving this weather #sunnyday,2024-08-21 06:19:29.721638,98.0,142,#game
8,user_8,Python is amazing! #coding #python,2024-09-02 06:19:29.721639,152.0,91,#coding #python
16,user_16,Found this cute café #coffee,2023-10-23 06:19:29.721640,348.0,287,#sunnyday #fun
13,user_13,Having a great time with friends #goodvibes,2024-06-01 06:19:29.721642,401.0,214,
18,user_18,,2024-04-30 06:19:29.721643,383.0,50,#foodie
15,user_15,Found this cute café #coffee,2024-08-16 06:19:29.721645,365.0,152,#goodvibes
13,user_13,,2024-05-29 06:19:29.721646,337.0,185,#developerlife
9,user_9,Loving this weather #sunnyday,2024-08-05 06:19:29.721647,193.0,62,
15,user_15,Loving this weather #sunnyday,2024-03-15 06:19:29.721649,309.0,189,#coding #python
13,user_13,Having a great time with friends #goodvibes,2024-05-06 06:19:29.721650,162.0,124,#TGIF
